"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","522559394","Alquiler","Plurifamiliar","València","46020","Valencia","Valencia","Benimaclet","Barrio de Benimaclet","39.4885772078","-0.3610301922","","Profesional","FINKAS NG SL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/041ec308-ebd8-4927-9089-8a23457a12d6G.jpg","https://www.milanuncios.com/anuncios/r522559394.htm","2024-08-21","962641537","finkasnga66a@realestate.com","No","","","No","No contactado","1","3","1","72","1100","15","9","Muy alta"
"milanuncios","518751017","Alquiler","Plurifamiliar","València","46008","Valencia","Valencia","Extramurs","Zona Botánico","39.4723411078","-0.3821490922","","Profesional","IPISOS","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00817bb4-4a5f-459b-a641-404fddef213bG.jpg","https://www.milanuncios.com/anuncios/r518751017.htm","2024-07-09","962949187","ipisosb78b@realestate.com","No","","","No","No contactado","2","4","2","121","2100","17","52","Muy alta"
"milanuncios","518966297","Alquiler","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","Penya - Roja - Avda. Francia","39.4590530078","-0.3469859922","7","Profesional","Ml Strategic Properties S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/7c6a7f6a-315c-4422-835f-a4863b25c7a1G.jpg","https://www.milanuncios.com/anuncios/r518966297.htm","2024-07-10","962646172","holainmobiliariaab2f@realestate.com","No","","","No","No contactado","3","3","1","110","2300","20","51","Muy alta"
"milanuncios","522950468","Alquiler","Plurifamiliar","Valencia Capital - Carrer de Méndez Núñ","46024","Valencia","Valencia","Poblats Marítims","El Grau","39.4594","-0.336088","","Profesional","Aproperties","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/4737-img3822350-480245678G.jpg","https://www.milanuncios.com/anuncios/r522950468.htm","2024-08-28","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","4","3","1","87","1150","13","2","Muy alta"
"milanuncios","522953494","Alquiler","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","La Roqueta","39.4683079078","-0.3776763922","3","Profesional","INMOBILIARIA LAURIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/031e78b4-dbcb-402c-bf16-7300f105ce77G.jpg","https://www.milanuncios.com/anuncios/r522953494.htm","2024-08-28","960968667","inmobiliarialauria9d4a@realestate.com","No","","","No","No contactado","5","3","2","133","1600","12","2","Muy alta"
"milanuncios","522152839","Alquiler","Plurifamiliar","València","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4959973675","-0.3743615112","","Profesional","JANDJ GI  S L","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/10151b84-9d06-48a8-af7d-6110e8d5d0f0G.jpg","https://www.milanuncios.com/anuncios/r522152839.htm","2024-08-13","961289761","jj938e@realestate.com","No","","","No","No contactado","6","3","1","99","1000","10","17","Muy alta"
"milanuncios","521461345","Alquiler","Plurifamiliar","València","46021","Valencia","Valencia","Algirós","La Carrasca","39.4796142198","-0.3445782642","","Profesional","Spaces Places","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0043562f-2cd3-4951-887a-f72d41ff8f41G.jpg","https://www.milanuncios.com/anuncios/r521461345.htm","2024-08-06","962470857","spacesplaces120d@realestate.com","No","","","No","No contactado","7","4","2","116","1700","14","24","Muy alta"
"milanuncios","515524262","Alquiler","Plurifamiliar","València","46021","Valencia","Valencia","Algirós","L'Amistat","39.4739163078","-0.3485869922","","Profesional","Inmobiliaria Fran López","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0478346a-dde5-4eb9-b614-0d4a5daef215G.jpg","https://www.milanuncios.com/anuncios/r515524262.htm","2024-06-04","962949864","inmobiliariafranlopezdaa9@realestate.com","No","","","No","No contactado","8","4","2","100","1750","17","87","Muy alta"
"milanuncios","522619933","Alquiler","Plurifamiliar","València","46004","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4672130078","-0.3720719922","1","Profesional","EV MMC SPAIN  S L U","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0d5621de-c82f-4643-90e9-80e20087ca14G.jpg","https://www.milanuncios.com/anuncios/r522619933.htm","2024-08-22","962646083","engelvolkers809d@realestate.com","No","","","No","No contactado","9","3","2","100","1500","15","8","Muy alta"
"milanuncios","522744730","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","L'Eixample","Russafa","39.4607641554","-0.3725042446","1","Profesional","Grupo Avalon Huelva Sl","Sí","Sí","No","No","No","No","Sí","No","https://images.habimg.com/imgh/0e6e451c-9e50-40ba-b3ad-5c28624ba466G.jpg","https://www.milanuncios.com/anuncios/r522744730.htm","2024-08-24","959163597","grupoavaloninmobiliariaae0e@realestate.com","No","","","No","No contactado","10","1","1","45","400","8","1","Muy alta"
