"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","13600","Venta","Plurifamiliar","Piso en Venta en  Calle del Maestro Aguilar, Russafa","46006","Valencia","Valencia","L'Eixample","Russafa","39.4610287361","-0.3698612859","4º","Profesional","ALAIN GRUPO","Sí","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/cec2ba76-0af9-469c-853c-d2e0eaa2f529?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185757316&tti=2","2025-02-26","961281893","i.alainconsultoresinmobiliarios.5458@inmovilla.com","No","Excelente","","No","No contactado","4752","3","2","133","580000","4360","1","Muy baja"
"Fotocasa","PIS0827","Venta","Plurifamiliar","Piso en Venta en Barrio de Benicalap","46015","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4878206146","-0.3935038006","8º","Profesional","Arrels Valencia","Sí","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/4b9a73f4-2285-4220-a528-50244159b7d2?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185762960&tti=2","2025-02-26","962947856","info@arrelsvalencia.com","No","Bueno","","No","No contactado","247","3","2","115","373000","3243","1","Alta"
"habitaclia","107408901","Venta","Plurifamiliar","Piso en venta en plaza del Poeta Salvador Rueda","","Valencia","Valencia","Campanar","El Calvari - La Fe","39.4860742587","-0.3884955413","0","Profesional","Inmobiliaria Fran López","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/421d3cdd-7f4d-4742-a3b6-b7b79ed88a0bG.jpg","https://www.habitaclia.com/i46471000001009","2025-02-26","633360529","franlopez@valenciainmobiliaria.es","No","Muy bueno","","No","No contactado","188","3","1","71","234000","3295","1","Alta"
"milanuncios","537197402","Venta","Plurifamiliar","Valencia Capital","46025","Valencia","Valencia","Rascanya","Torrefiel","39.4915488299","-0.3802614701","","Profesional","HOUSE MAISON  S L","No","Sí","No","No","No","No","Sí","No","https://images.habimg.com/imgh/08c5c491-4377-428a-82ce-9050ad863f47G.jpg","https://www.milanuncios.com/anuncios/r537197402.htm","2025-02-26","918007061","habitab28a@realestate.com","No","","","No","No contactado","46","4","2","110","185000","1681","1","Muy alta"
"Fotocasa","LCV35167","Venta","Plurifamiliar","Piso en Venta en  Avinguda del Doctor Waksman, En Corts - Doctor Waksman","46006","Valencia","Valencia","Quatre Carreres","En Corts - Doctor Waksman","39.4565707131","-0.3724334869","3º","Profesional","La Casa Agency Punto Valencia Rio","No","Sí","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/2e52fcf2-5f4a-46e3-9e9d-2eadd9508c65?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185764524&tti=2","2025-02-26","960966312","46010a@lacasa.net","No","Bueno","","No","No contactado","113","4","2","129","359000","2782","1","Muy alta"
"habitaclia","DAVID-MARXALENES","Venta","Plurifamiliar","Vivienda para reformar 3 hab 1 baño","","Valencia","Valencia","La Saïdia","Marxalenes","39.4885038575","-0.3859002727","0","Profesional","GESTORIA CYA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00ebd5d5-dbbe-4810-8f83-705bc38e6018G.jpg","https://www.habitaclia.com/i30105000001492","2025-02-26","615246793","carlossmc@hotmail.com","No","Muy bueno","","No","No contactado","7723","3","1","65","150000","2307","1","Muy baja"
"Fotocasa","DAVID-MARXALENES","Venta","Plurifamiliar","Piso en Venta en  Na Constanza Miquel, Marxalenes","46009","Valencia","Valencia","La Saïdia","Marxalenes","39.4887235118","-0.3856806183","Undefined","Profesional","GESTORIA CYA","Sí","Sí","No","Sí","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/00ebd5d5-dbbe-4810-8f83-705bc38e6018?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185756913&tti=2","2025-02-26","962645539","carlossmc@hotmail.com","No","Malo","","No","No contactado","6891","3","1","65","150000","2307","1","Muy baja"
"milanuncios","537188756","Venta","Plurifamiliar","Valencia Capital","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4904492137","-0.3784970199","","Profesional","CARLOS MARTINEZ COMPANY","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1314aa41-ab59-4897-bd79-a579d30d4726G.jpg","https://www.milanuncios.com/anuncios/r537188756.htm","2025-02-26","962645539","gestoriasuasoris589d@realestate.com","No","","","No","No contactado","6219","1","1","48","135000","2812","1","Muy baja"
"Fotocasa","00000-476787-S","Venta","Plurifamiliar","Piso en Venta en Ciutat Fallera","46025","Valencia","Valencia","Benicalap","Ciutat Fallera","39.5016374941","-0.3923741647","Undefined","Profesional","SUBASTAFÁCIL.COM","No","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/b037fe1c-ed2d-4807-82aa-a12231f5f0c6?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185755832&tti=2","2025-02-26","928196597","portales-inmobiliarios@subastafacil.com","No","","","No","No contactado","971","2","1","68","34512","507","1","Moderada"
"milanuncios","537185428","Venta","Plurifamiliar","Valencia Capital","46025","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4930996758","-0.3916300653","","Profesional","MOLMAR GESTION INMOBILIARIA E  S L","No","Sí","No","Sí","No","No","No","No","https://images.habimg.com/imgh/07e42d05-460d-49c5-a19d-5deed5d324bbG.jpg","https://www.milanuncios.com/anuncios/r537185428.htm","2025-02-26","960967559","molmargestioninmobiliariae398b@realestate.com","No","","","No","No contactado","4555","3","2","110","373000","3390","1","Muy baja"
"habitaclia","I-02YVIR-W-02YVWR","Venta","Plurifamiliar","Luminosa y amplia propiedad en  la Plaza de la Virgen","","Valencia","Valencia","Ciutat Vella","La Seu","39.4761095871","-0.3758484129","5","Profesional","Engel & Völkers","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0d15fb55-c6c4-4f9b-8509-325aa3f90231G.jpg","https://www.habitaclia.com/i5953003370917","2025-02-26","963517897","valencia@engelvoelkers.com","No","Muy bueno","","No","No contactado","9300","5","3","211","675000","3199","1","Muy baja"
"milanuncios","537146634","Venta","Plurifamiliar","Valencia Capital","46009","Valencia","Valencia","La Saïdia","Marxalenes","39.4875258287","-0.3868783015","","Profesional","CARLOS MARTINEZ COMPANY","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00ebd5d5-dbbe-4810-8f83-705bc38e6018G.jpg","https://www.milanuncios.com/anuncios/r537146634.htm","2025-02-26","962645539","gestoriasuasoris589d@realestate.com","No","","","No","No contactado","12","3","1","65","150000","2307","1","Muy alta"
"Fotocasa","VLC-LG1418LG","Venta","Plurifamiliar","Piso en Venta en  Plaza TOSSAL DEL REI, Torrefiel","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4963518941","-0.3727718279","5º","Profesional","RK VALENCIA MARKET","Sí","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/f5e2b34d-333a-499d-b156-f624f62abc3c?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=185762210&tti=2","2025-02-26","962471038","i.realmark.1138@inmovilla.com","No","","","No","No contactado","7053","4","1","121","254000","2099","1","Muy baja"
"milanuncios","537179961","Venta","Plurifamiliar","Valencia Capital","46019","Valencia","Valencia","Rascanya","Torrefiel","39.4951542109","-0.3739695111","5","Profesional","RK VALENCIA MARKET  S L","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/066fad68-ec4f-47ae-ad7e-f1952db2f3d0G.jpg","https://www.milanuncios.com/anuncios/r537179961.htm","2025-02-26","962471038","realmark5831@realestate.com","No","","","No","No contactado","6556","4","1","121","254000","2099","1","Muy baja"
