"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","531256488","Venta","Plurifamiliar","València","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4631426889","-0.3809555111","","Profesional","AGI CONSULTORA","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/891adca3-4e1b-4d0b-b932-eaa67c6427dbG.jpg","https://www.milanuncios.com/anuncios/r531256488.htm","2024-12-08","922930851","agiconsultora7ca2@realestate.com","No","","","No","No contactado","1","","","96","212933","2218","22","Muy alta"
"milanuncios","529604054","Venta","Plurifamiliar","València","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4914710889","-0.4063049111","","Profesional","NOV REAL ESTATE","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/07e30069-5cd3-40af-9d15-00c3892f921bG.jpg","https://www.milanuncios.com/anuncios/r529604054.htm","2024-11-15","962940248","novrealestate0210@realestate.com","No","","","No","No contactado","2","3","2","112","570000","5089","45","Muy alta"
"milanuncios","529453581","Venta","Plurifamiliar","València","46006","Valencia","Valencia","L'Eixample","Russafa","39.4614500889","-0.3712059111","","Profesional","CENTRAL DP 2013  S L","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/06d89cc0-d50f-409a-862b-5e26ca4443e1G.jpg","https://www.milanuncios.com/anuncios/r529453581.htm","2024-11-14","931613505","donpiso4575@realestate.com","No","","","No","No contactado","3","4","1","108","390000","3611","46","Muy alta"
"milanuncios","530039403","Venta","Plurifamiliar","València","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4783670889","-0.4030065111","","Profesional","Llosan Asesores","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00e63b6d-f5ee-4795-9ebc-8eca6b49190eG.jpg","https://www.milanuncios.com/anuncios/r530039403.htm","2024-11-20","962948367","llosanasesores6468@realestate.com","No","","","No","No contactado","4","3","2","77","299000","3883","40","Muy alta"
"milanuncios","532112961","Venta","Plurifamiliar","València","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4794615829","-0.3996109031","","Profesional","Spaces Places","Sí","Sí","No","No","No","No","Sí","No","https://images.habimg.com/imgh/036a8fb5-bd5f-4bc3-bf95-1e054edeef2fG.jpg","https://www.milanuncios.com/anuncios/r532112961.htm","2024-12-20","962470857","spacesplaces120d@realestate.com","No","","","No","No contactado","5","3","2","121","443000","3661","10","Muy alta"
"milanuncios","523784869","Venta","Plurifamiliar","València","46008","Valencia","Valencia","Extramurs","Zona Botánico","39.4763837828","-0.3832875172","2","Profesional","A PEREZ PROYECTISTA SL","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/004915e1-64dc-4cae-ab5f-3262e50900ddG.jpg","https://www.milanuncios.com/anuncios/r523784869.htm","2024-09-09","960962073","seleccioninmobiliariavalencia48df@realestate.com","No","","","No","No contactado","6","2","2","62","280000","4516","91","Muy alta"
"milanuncios","529604054","Venta","Plurifamiliar","València","46015","Valencia","Valencia","Campanar","Sant Pau - Zona Palau de Congresos - Nou Campanar","39.4914710889","-0.4063049111","","Profesional","NOV REAL ESTATE","Sí","Sí","No","Sí","No","No","Sí","No","https://images.habimg.com/imgh/07e30069-5cd3-40af-9d15-00c3892f921bG.jpg","https://www.milanuncios.com/anuncios/r529604054.htm","2024-11-15","962940248","novrealestate0210@realestate.com","No","","","No","No contactado","7","3","2","112","570000","5089","45","Muy alta"
"milanuncios","531502025","Venta","Plurifamiliar","Valencia","46005","Valencia","Valencia","L'Eixample","Russafa","39.4623685616","-0.3669664384","","Profesional","Aproperties","No","No","No","No","Sí","No","No","No","https://images.habimg.com/imgh/4737-img3823329-480583004G.jpg","https://www.milanuncios.com/anuncios/r531502025.htm","2024-12-12","962648135","apropertiesrealestatevalencia6ff9@realestate.com","No","","","No","No contactado","8","2","2","54","280000","5185","2","Muy alta"
"milanuncios","530525416","Venta","Plurifamiliar","València","46005","Valencia","Valencia","L'Eixample","Russafa","39.4594034642","-0.3683400358","","Profesional","IGARKA   VALENCIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0088d4b9-59f3-4348-ac82-cd06d8735aedG.jpg","https://www.milanuncios.com/anuncios/r530525416.htm","2024-11-27","960967919","igarkavalenciafda6@realestate.com","No","","","No","No contactado","9","3","1","70","255000","3642","21","Muy alta"
"milanuncios","531377961","Venta","Plurifamiliar","València","46023","Valencia","Valencia","Camins al Grau","La Creu del Grau","39.4643301311","-0.3450455689","","Profesional","Sebastian Oprea Dragos","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0164af91-101c-42e7-bd7c-6c7ae00134c9G.jpg","https://www.milanuncios.com/anuncios/r531377961.htm","2024-12-10","960968143","beatniqrealestatea272@realestate.com","No","","","No","No contactado","10","2","1","79","189000","2392","6","Muy alta"
"milanuncios","530628211","Venta","Unifamiliar","Valencia","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4634136416","-0.3410921275","","Profesional","AGENCIA MEDITERRANEA DEINTERMEDIACION Y ASESORAMIE","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0997b5bd-2b25-4985-9cbb-0e723527f154G.jpg","https://www.milanuncios.com/anuncios/r530628211.htm","2024-11-28","962470418","agenciamediterranea92b9@realestate.com","No","","","No","No contactado","11","2","2","80","320000","4000","6","Muy alta"
