"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","568935796","Alquiler","Plurifamiliar","Valencia Capital","46001","Valencia","Valencia","Ciutat Vella","El Pilar","39.4704310871","-0.3834007129","","Profesional","","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/23c608e0-d84e-4f1a-99ab-3efd033235a5G.jpg","https://www.milanuncios.com/anuncios/r568935796.htm","2025-11-28","","","No","","","No","No contactado","1590","2","2","76","720","9","1","Baja"
"habitaclia","32166144469","Alquiler","Plurifamiliar","Estudio en el Cabanyal","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4638249218","-0.3336549782","0","Profesional","LIVE 4 LIFE","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/0b8f9bd3-6e8e-4aad-974e-8d9a9c13f6abG.jpg","https://www.habitaclia.com/i28825000010707","2025-11-28","693544660","administracion@l4l.es","No","Muy bueno","","No","No contactado","2692","","1","28","790","28","1","Muy baja"
"milanuncios","568939355","Alquiler","Plurifamiliar","Valencia Capital","46006","Valencia","Valencia","L'Eixample","Russafa","39.4598033871","-0.3781740129","","Profesional","","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/11906306-d7b9-40b7-a19a-269a0a44263dG.jpg","https://www.milanuncios.com/anuncios/r568939355.htm","2025-11-28","","","No","","","No","No contactado","1457","2","2","78","725","9","1","Baja"
"Fotocasa","AV2511103","Alquiler","Plurifamiliar","Piso en Alquiler en El Cabanyal - El Canyamelar","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4705119807","-0.3284890193","2º","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","Sí","Sí","Sí","No","Sí","Sí","No","https://static.fotocasa.es/images/ads/6a7d44d2-e7a9-4b5e-9861-3149ee0c106d?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188237103&tti=2","2025-11-28","962648135","leadsapvalencia@aproperties.es","No","","","No","No contactado","4482","4","2","110","1700","15","1","Muy baja"
"habitaclia","AV2511090","Alquiler","Plurifamiliar","Ático en alquiler en El Cabañal","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4649421218","-0.3312378782","1","Profesional","APROPERTIES REAL ESTATE - VALENCIA","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/082632f2-b2ab-4e6c-a63a-1f2b0f02b832G.jpg","https://www.habitaclia.com/i4737003826730","2025-11-28","623016964","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","2602","1","1","48","1100","22","1","Muy baja"
"habitaclia","PR00621","Alquiler","Plurifamiliar","SOLO Larga duración. JUNTO HOSPITAL LA NUEVA FE  y HOSPITAL VITHAS VALENCIA TURIA,","","Valencia","Valencia","Quatre Carreres","Malilla","39.4472759218","-0.3705779782","0","Profesional","FINQUES EMA","Sí","Sí","Sí","No","No","No","No","No","https://images.habimg.com/imgh/0d319a8a-4d59-475e-8997-04d873daaf0aG.jpg","https://www.habitaclia.com/i2410004283315","2025-11-28","935016560","info@finquesema.com","No","Muy bueno","","No","No contactado","4840","3","2","105","1350","12","1","Muy baja"
"habitaclia","B58Y","Alquiler","Plurifamiliar","","","Valencia","Valencia","L'Eixample","Russafa","39.4571980218","-0.3766342782","0","Profesional","VDB Luxury Properties","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/12dc2a99-4e40-4202-9fc1-f1144f324cb1G.jpg","https://www.habitaclia.com/i56069000000089","2025-11-28","34692712006","cecilia@vdbluxuryproperties.com","No","Muy bueno","","No","No contactado","18","2","1","77","700","9","1","Muy alta"
"habitaclia","VLG8S","Alquiler","Plurifamiliar","","","Valencia","Valencia","Ciutat Vella","El Pilar","39.4715066218","-0.3823251782","0","Profesional","VDB Luxury Properties","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/23c608e0-d84e-4f1a-99ab-3efd033235a5G.jpg","https://www.habitaclia.com/i56069000000103","2025-11-28","34692712006","cecilia@vdbluxuryproperties.com","No","Muy bueno","","No","No contactado","2814","2","2","76","720","9","1","Muy baja"
"milanuncios","568925142","Alquiler","Plurifamiliar","Valencia Capital","46011","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4653006871","-0.3325850129","","Profesional","","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/603375cd-1ae6-48bb-b2d3-86cf54f59b64G.jpg","https://www.milanuncios.com/anuncios/r568925142.htm","2025-11-28","","","No","","","No","No contactado","6759","2","1","75","700","9","1","Muy baja"
"Fotocasa","ut1672521","Alquiler","Plurifamiliar","Piso en Alquiler en  N/A, Arrancapins","46007","Valencia","Valencia","Extramurs","Arrancapins","39.4641274981","-0.3849219019","","Profesional","HOUSING ANYWHERE","Sí","No","Sí","No","No","No","Sí","No","https://static.fotocasa.es/images/ads/95cff037-8627-40e2-a2ae-6923724a68d6?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=188235312&tti=2","2025-11-28","910750046","inbound+leads+l1672521@housinganywhere.com","No","","","No","No contactado","4440","4","","140","2876","20","1","Muy baja"
