"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","559978229","Alquiler","Plurifamiliar","Valencia Capital","46021","Valencia","Valencia","Camins al Grau","Albors","39.4655994323","-0.3578236677","3","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1901133d-8d39-4c04-9da1-da7db538b969G.jpg","https://www.milanuncios.com/anuncios/r559978229.htm","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","2238","3","2","105","605","5","1","Baja"
"habitaclia","mmogjf-23","Alquiler","Plurifamiliar","","","Valencia","Valencia","Camins al Grau","Albors","39.4671681","-0.356255","3","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1901133d-8d39-4c04-9da1-da7db538b969G.jpg","https://www.habitaclia.com/i24285000000724","2025-09-28","954216503","2004@inmoservi2004.com","No","Muy bueno","","No","No contactado","872","3","2","105","605","5","1","Alta"
"milanuncios","560023569","Alquiler","Plurifamiliar","Valencia Capital","46010","Valencia","Valencia","El Pla del Real","Jaume Roig","39.4786913323","-0.3643686677","6","Profesional","ALFA TURIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/02ec2a39-fa61-4a99-85eb-a6515e552857G.jpg","https://www.milanuncios.com/anuncios/r560023569.htm","2025-09-28","960962672","alfaturia@hotmail.es","No","","","No","No contactado","75","3","2","105","1800","17","1","Muy alta"
"habitaclia","TTMRIG-06","Alquiler","Plurifamiliar","","","Valencia","Valencia","Algirós","L'Amistat","39.4730356","-0.3520368","2","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1ae4f551-dfc4-4b0c-8f79-9891501b2c39G.jpg","https://www.habitaclia.com/i24285000000749","2025-09-28","954216503","2004@inmoservi2004.com","No","Muy bueno","","No","No contactado","1507","3","2","105","605","5","1","Moderada"
"milanuncios","560087789","Alquiler","Plurifamiliar","Algirós - Av. de Blasco Ibáñez","46021","Valencia","Valencia","Algirós","L'Amistat","39.474168","-0.3502649","3","Particular","","No","Sí","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r560087789.htm","2025-09-28","","","No","","","No","No contactado","1981","3","2","130","1375","10","1","Baja"
"habitaclia","mmogjf-23","Alquiler","Plurifamiliar","","","Valencia","Valencia","Camins al Grau","Albors","39.4671681","-0.356255","3","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1901133d-8d39-4c04-9da1-da7db538b969G.jpg","https://www.habitaclia.com/i24285000000724","2025-09-28","954216503","2004@inmoservi2004.com","No","Muy bueno","","No","No contactado","868","3","2","105","605","5","1","Alta"
"Fotocasa","TTMRIG-06","Alquiler","Plurifamiliar","Piso en Alquiler en  Carrer de Manuel Martí, 18, L'Amistat","46021","Valencia","Valencia","Algirós","L'Amistat","39.4730356","-0.3520368","2º","Profesional","INMOSERVI","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/dc5c2c0f-bb3c-4063-893b-e2da238dc4e3?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187689390&tti=2","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","3037","3","2","105","605","5","1","Muy alta"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en Natzaret","46001","Valencia","Valencia","Poblats Marítims","Natzaret","39.4452064986","-0.3365803014","2º","Particular","hablamevalenciayole","No","No","No","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187693433/4744822366.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187693433&tti=1","2025-09-28","685395949","hablamevalenciayole@gmail.com","No","","","No","No contactado","4112","3","1","80","1300","16","1","Muy baja"
"Fotocasa","mmogjf-23","Alquiler","Plurifamiliar","Piso en Alquiler en  Avinguda del Port, 33, Albors","46021","Valencia","Valencia","Camins al Grau","Albors","39.4671681","-0.356255","3º","Profesional","INMOSERVI","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/1901133d-8d39-4c04-9da1-da7db538b969?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187689214&tti=2","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","2219","3","2","105","605","5","1","Muy alta"
"Fotocasa","","Alquiler","Plurifamiliar","Piso en Alquiler en L'Amistat","46001","Valencia","Valencia","Algirós","L'Amistat","39.4727388986","-0.3516940014","3º","Particular","vsoto5","No","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/anuncio/2025/09/28/187692627/4744804071.jpg?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187692627&tti=1","2025-09-28","623210907","vsoto5@hotmail.com","No","","","No","No contactado","322","3","2","130","1375","10","1","Muy alta"
"Fotocasa","1241/0732","Alquiler","Plurifamiliar","Piso en Alquiler en  Plaza Profesor Tamarit Olmos, 16, Jaume Roig","46010","Valencia","Valencia","El Pla del Real","Jaume Roig","39.48026","-0.3628","6º","Profesional","ALFA TURIA","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/34d872db-8351-4266-b3a7-edda42538575?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187689666&tti=2","2025-09-28","960962672","alfaturia@hotmail.es","No","Bueno","","No","No contactado","8101","3","2","105","1800","17","1","Muy baja"
"habitaclia","TTMRIG-06","Alquiler","Plurifamiliar","","","Valencia","Valencia","Algirós","L'Amistat","39.4730356","-0.3520368","2","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1ae4f551-dfc4-4b0c-8f79-9891501b2c39G.jpg","https://www.habitaclia.com/i24285000000749","2025-09-28","954216503","2004@inmoservi2004.com","No","Muy bueno","","No","No contactado","1528","3","2","105","605","5","1","Moderada"
"Fotocasa","TTMRIG-06","Alquiler","Plurifamiliar","Piso en Alquiler en  Carrer de Manuel Martí, 18, L'Amistat","46021","Valencia","Valencia","Algirós","L'Amistat","39.4730356","-0.3520368","2º","Profesional","INMOSERVI","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/dc5c2c0f-bb3c-4063-893b-e2da238dc4e3?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187689390&tti=2","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","3036","3","2","105","605","5","1","Muy alta"
"milanuncios","560023569","Alquiler","Plurifamiliar","Valencia Capital","46010","Valencia","Valencia","El Pla del Real","Jaume Roig","39.4786913323","-0.3643686677","6","Profesional","ALFA TURIA","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/02ec2a39-fa61-4a99-85eb-a6515e552857G.jpg","https://www.milanuncios.com/anuncios/r560023569.htm","2025-09-28","960962672","alfaturia@hotmail.es","No","","","No","No contactado","65","3","2","105","1800","17","1","Muy alta"
"milanuncios","560093678","Alquiler","Plurifamiliar","Nazaret - Carrer de Bernabé Garcia","46024","Valencia","Valencia","Poblats Marítims","Natzaret","39.4466356","-0.3351512","2","Particular","","No","No","No","No","Sí","No","No","No","","https://www.milanuncios.com/anuncios/r560093678.htm","2025-09-28","","","No","","","No","No contactado","5613","3","1","80","1300","16","1","Muy baja"
"milanuncios","559986902","Alquiler","Plurifamiliar","Valencia Capital","46021","Valencia","Valencia","Algirós","L'Amistat","39.4714669323","-0.3536054677","2","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1ae4f551-dfc4-4b0c-8f79-9891501b2c39G.jpg","https://www.milanuncios.com/anuncios/r559986902.htm","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","2001","3","2","105","605","5","1","Baja"
"milanuncios","559978229","Alquiler","Plurifamiliar","Valencia Capital","46021","Valencia","Valencia","Camins al Grau","Albors","39.4655994323","-0.3578236677","3","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1901133d-8d39-4c04-9da1-da7db538b969G.jpg","https://www.milanuncios.com/anuncios/r559978229.htm","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","2244","3","2","105","605","5","1","Baja"
"milanuncios","559986902","Alquiler","Plurifamiliar","Valencia Capital","46021","Valencia","Valencia","Algirós","L'Amistat","39.4714669323","-0.3536054677","2","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1ae4f551-dfc4-4b0c-8f79-9891501b2c39G.jpg","https://www.milanuncios.com/anuncios/r559986902.htm","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","2000","3","2","105","605","5","1","Baja"
"milanuncios","560045690","Alquiler","Plurifamiliar","Ruzafa - C/ de Quart","46008","Valencia","Valencia","Extramurs","La Petxina","39.4746063","-0.3902061","2","Profesional","Vanessa","No","Sí","No","No","No","No","No","No","","https://www.milanuncios.com/anuncios/r560045690.htm","2025-09-28","","vanessapitarchgarcia@gmail.com","No","","","No","No contactado","8708","2","1","66","1250","18","1","Muy baja"
"Fotocasa","1241/0732","Alquiler","Plurifamiliar","Piso en Alquiler en  Plaza Profesor Tamarit Olmos, 16, Jaume Roig","46010","Valencia","Valencia","El Pla del Real","Jaume Roig","39.48026","-0.3628","6º","Profesional","ALFA TURIA","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/34d872db-8351-4266-b3a7-edda42538575?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187689666&tti=2","2025-09-28","960962672","alfaturia@hotmail.es","No","Bueno","","No","No contactado","3953","3","2","105","1800","17","1","Muy baja"
"Fotocasa","mmogjf-23","Alquiler","Plurifamiliar","Piso en Alquiler en  Avinguda del Port, 33, Albors","46021","Valencia","Valencia","Camins al Grau","Albors","39.4671681","-0.356255","3º","Profesional","INMOSERVI","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/1901133d-8d39-4c04-9da1-da7db538b969?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187689214&tti=2","2025-09-28","954309583","naimadp68@outlook.es","No","","","No","No contactado","2220","3","2","105","605","5","1","Muy alta"
"habitaclia","AwpisosespanaWW-34","Alquiler","Plurifamiliar","","","Valencia","Valencia","Camins al Grau","Albors","39.4671681","-0.356255","2","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/1b5cdd41-ddc6-428e-8c1b-860dd1cda025G.jpg","https://www.habitaclia.com/i24285000000273","2025-09-27","954216503","2004@inmoservi2004.com","No","Muy bueno","","No","No contactado","471","1","1","45","425","9","2","Muy alta"
"Fotocasa","AwpisosespanaWW-34","Alquiler","Plurifamiliar","Piso en Alquiler en  Avinguda del Port, 33, Albors","46021","Valencia","Valencia","Camins al Grau","Albors","39.4671681","-0.356255","2º","Profesional","INMOSERVI","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/48807630-9d4d-4003-bf90-6f722a6712a3?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187686886&tti=2","2025-09-27","954309583","naima64@outlook.es","No","","","No","No contactado","2171","1","1","45","425","9","2","Muy alta"
"habitaclia","RTQ_4017_copia","Alquiler","Plurifamiliar","ÁTICO EN ALQUILER EN EL GRAU A ESTRENAR","","Valencia","Valencia","Poblats Marítims","El Grau","39.4610415241","-0.3343958209","3","Profesional","RACASA TORRES DE QUART","Sí","Sí","No","No","Sí","No","No","No","https://images.habimg.com/imgh/047a0536-92c5-40bc-a992-97c4007ba10dG.jpg","https://www.habitaclia.com/i10195003734978","2025-09-27","695674672","comercial@racasa.es","No","Muy bueno","","No","No contactado","7289","2","1","72","1700","23","2","Muy baja"
"milanuncios","559969251","Alquiler","Plurifamiliar","Valencia Capital","46022","Valencia","Valencia","Algirós","L'Illa Perduda","39.4671664323","-0.3435820677","3","Profesional","INMOSERVI","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/186005cd-ca69-466a-98c5-2937339eef8aG.jpg","https://www.milanuncios.com/anuncios/r559969251.htm","2025-09-27","954309583","naimadp68@outlook.es","No","","","No","No contactado","94","3","2","100","600","6","2","Muy alta"
