"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"milanuncios","522692419","Alquiler","Plurifamiliar","València","46002","Valencia","Valencia","Ciutat Vella","Sant Francesc","39.4712525594","-0.3760958406","","Profesional","CASERO CASAS PACO CASERO","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/0950445b-b9da-46c3-96d2-96715a10f38aG.jpg","https://www.milanuncios.com/anuncios/r522692419.htm","2024-08-23","600036619","caserocasasd2f8@realestate.com","No","","","No","No contactado","1","","1","176","3400","19","68","Muy alta"
"milanuncios","523454894","Alquiler","Plurifamiliar","València","46006","Valencia","Valencia","L'Eixample","Russafa","39.4616547594","-0.3769332406","2","Profesional","EV MMC SPAIN  S L U","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/1062a362-c018-43f8-9331-93da78af137eG.jpg","https://www.milanuncios.com/anuncios/r523454894.htm","2024-09-05","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","2","2","1","59","1600","27","55","Muy alta"
"milanuncios","524327862","Alquiler","Plurifamiliar","València","46021","Valencia","Valencia","Camins al Grau","Albors","39.4684999594","-0.3519463406","","Profesional","TEJO PATRIMONIAL SL","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/009679d4-0dcb-43bb-818c-9bbe8e9920c9G.jpg","https://www.milanuncios.com/anuncios/r524327862.htm","2024-09-17","960968974","almirantee81b@realestate.com","No","","","No","No contactado","3","3","2","113","1800","15","43","Muy alta"
"milanuncios","520255269","Alquiler","Plurifamiliar","València","46011","Valencia","Valencia","Poblats Marítims","La Malva-rosa","39.4805326594","-0.3290438406","","Profesional","Uniplaces","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/037f44bf-0a88-4982-b409-a6c41a305629G.jpg","https://www.milanuncios.com/anuncios/r520255269.htm","2024-07-23","919454608","uniplaces9f38@realestate.com","No","","","No","No contactado","4","3","2","80","1300","16","99","Muy alta"
"milanuncios","527007401","Alquiler","Plurifamiliar","València","46010","Valencia","Valencia","El Pla del Real","Jaume Roig","39.4805468687","-0.3645025313","6","Profesional","VICENTE GARCÍA  JOSE ANGEL","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/02ebc4c2-7594-4881-85c2-84a667d0857fG.jpg","https://www.milanuncios.com/anuncios/r527007401.htm","2024-10-16","961281558","alameda10dt69e2@realestate.com","No","","","No","No contactado","5","5","2","162","2100","12","8","Muy alta"
"milanuncios","525783219","Alquiler","Plurifamiliar","València","46015","Valencia","Valencia","Benicalap","Barrio de Benicalap","39.4917389462","-0.4019686538","","Profesional","Spaces Places","Sí","Sí","No","No","No","No","Sí","No","https://images.habimg.com/imgh/0645aa1b-b644-4f97-86da-8a6b9cb22c4dG.jpg","https://www.milanuncios.com/anuncios/r525783219.htm","2024-10-03","962470857","spacesplaces120d@realestate.com","No","","","No","No contactado","6","1","1","55","1095","19","18","Muy alta"
"milanuncios","524798146","Alquiler","Plurifamiliar","València","46014","Valencia","Valencia","L'Olivereta","Soternes","39.4704631408","-0.4086348592","7","Profesional","EV MMC SPAIN  S L U","Sí","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/03ad5dce-6514-4234-82a6-a41bcd5e67a0G.jpg","https://www.milanuncios.com/anuncios/r524798146.htm","2024-09-24","961287313","engelvolkers809d@realestate.com","No","","","No","No contactado","7","3","1","87","1500","17","13","Muy alta"
"milanuncios","516487131","Alquiler","Plurifamiliar","València","46003","Valencia","Valencia","Ciutat Vella","El Carme","39.4789992841","-0.3797479601","","Profesional","BIENES RAICES TURIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/01c247af-46ce-4833-b50e-9dfa9fa7f8e1G.jpg","https://www.milanuncios.com/anuncios/r516487131.htm","2024-06-12","962644059","primergrupoturia88a5@realestate.com","No","","","No","No contactado","8","4","2","91","1900","20","126","Muy alta"
"habitaclia","1634","Alquiler","Plurifamiliar","""UBICACIÓN PRIVILEGIADA"", EN LA CALLE CIRILO AMORÓS JUNTO A LA GRAN VÍA, CALLE COLÓN Y EL MERCADO DE COLÓN.","","Valencia","Valencia","L'Eixample","El Pla del Remei","39.4669395","-0.3721935","0","Profesional","ALAMEDA 10DT","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/15cd70b4-7ea3-4045-9246-ffc64bbbd1dfG.jpg","https://www.habitaclia.com/i43366000001025","2024-09-24","690062272","info@alameda10dt.com","No","Muy bueno","","No","No contactado","9","3","2","120","1700","14","8","Muy alta"
"habitaclia","AV2410012","Alquiler","Unifamiliar","Casa en alquiler en Massarojos","","Valencia","Valencia","Massarrojos","","39.5395565611","-0.4029744389","0","Profesional","APROPERTIES REAL ESTATE - VALENCIA","No","No","Sí","No","Sí","No","No","No","https://images.habimg.com/imgh/4737-img3822691-480378796G.jpg","https://www.habitaclia.com/i4737003822691","2024-10-02","623016964","eva.martinez-fortun@aproperties.es","No","Muy bueno","","No","No contactado","10","3","2","220","1700","7","4","Muy alta"
