"Fuente","Referencia","Operación","Tipología","Título","C.P.","Municipio","Provincia","Distrito","Barrio","Latitud","Longitud","Planta","Anunciante","Empresa","Aire acondicionado","Ascensor","Garaje","Trastero","Terraza","Piscina","Zonas verdes","Zona deportiva","Imagen","URL","Fecha de creación","Teléfono","Email","Posible agencia","Conservación","Comentarios","Descartado","Estado","Ranking","Dormitorios","Baños","Superficie","Precio","Precio unitario","Días","Demanda"
"Fotocasa","V-1-65508","Venta","Plurifamiliar","Piso en Venta en Soternes","46014","Valencia","Valencia","L'Olivereta","Soternes","39.4730189337","-0.4068607663","5º","Profesional","GRUPO 90 CENTRAL","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/4250c9e7-a0af-4149-bef4-4acc0b713cd8?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187191411&tti=2","2025-07-29","960963683","publicidad@grupo90.es","No","Muy bueno","","No","No contactado","7576","2","1","49","179990","3673","1","Muy baja"
"habitaclia","000ALC120.OPV-B","Venta","Plurifamiliar","REFORMA A ESTRENAR! ESTUDIO JUNTO AV PESET ALEXANDRE","","Valencia","Valencia","Rascanya","Torrefiel","39.4922885477","-0.3775913193","0","Profesional","HOGARABITAT SERVICIOS INMOBILIARIOS","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/02311d90-79d9-4f3f-a3f6-76dd8c7ee2ebG.jpg","https://www.habitaclia.com/i8137003998436","2025-07-29","962064191","hogarabitatvl@hotmail.com","No","Muy bueno","","No","No contactado","3016","1","1","42","119900","2854","1","Muy baja"
"Fotocasa","120.000€ piso con inquilino hasta julio 2026","Venta","Plurifamiliar","Piso en Venta en Benimàmet","46035","Valencia","Valencia","Benimàmet","","39.4993566337","-0.4162992663","2º","Profesional","TEMPOHABITAT","Sí","Sí","Sí","Sí","No","Sí","Sí","Sí","https://static.fotocasa.es/images/ads/951b2f5c-4ae0-4e01-810f-3d9865bc2df0?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187186986&tti=2","2025-07-29","960965542","valenciabenimamet@gmail.com","No","Bueno","","No","No contactado","2230","3","1","66","120000","1818","1","Baja"
"Fotocasa","LCV38047-1","Venta","Plurifamiliar","Piso en Venta en Aiora","46022","Valencia","Valencia","Camins al Grau","Aiora","39.4664322337","-0.3475475663","1º","Profesional","LA CASA AGENCY","No","Sí","No","No","Sí","No","No","No","https://static.fotocasa.es/images/ads/850b6f26-8d11-4833-b855-bb252ee1400f?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187192386&tti=2","2025-07-29","932397823","08020a@lacasa.net","No","Muy bueno","","No","No contactado","1034","4","2","85","249000","2929","1","Moderada"
"habitaclia","LCV36550","Venta","Plurifamiliar","PISO IDEAL EN VALENCIA","","Valencia","Valencia","Camins al Grau","Albors","39.4680963587","-0.3548826413","1","Profesional","La Casa Agency Punto Valencia Rio","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/029ef080-63fa-4ede-bc95-3d58b07a847bG.jpg","https://www.habitaclia.com/i52933000001615","2025-07-29","34960590500","46010a@lacasa.net","No","Muy bueno","","No","No contactado","4967","5","2","100","260000","2600","1","Muy baja"
"habitaclia","V-1-65507","Venta","Plurifamiliar","","","Valencia","Valencia","Rascanya","Orriols","39.4967071874","-0.3680106126","3","Profesional","GRUPO 90 CENTRAL","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/09db2ba9-3b8b-45f9-8e4e-1424786c3152G.jpg","https://www.habitaclia.com/i42610000003822","2025-07-29","615443392","constitucion@grupo90.com","No","Muy bueno","","No","No contactado","9449","2","1","68","99000","1455","1","Muy baja"
"habitaclia","LCV36550-1","Venta","Plurifamiliar","Piso en Valencia capital, 100 m construidos 89 útiles, con 4 habitaciones 3 dobles  1 tipo oficina, 1 baño completo y 1 aseo. Prim","","Valencia","Valencia","Camins al Grau","Albors","39.4689635874","-0.3540154126","1","Profesional","LA CASA AGENCY - LLEFIA REAL ESTATE","Sí","No","No","No","No","No","No","No","https://images.habimg.com/imgh/07ccaf65-a2b9-4ea7-8bdd-165840b5e3a6G.jpg","https://www.habitaclia.com/i15516004280342","2025-07-29","930383017","coordinacionllefia@gmail.com","No","Muy bueno","","No","No contactado","2984","5","2","100","260000","2600","1","Muy baja"
"habitaclia","P-25-041","Venta","Plurifamiliar","Piso en venta en Calle de l''Arxiduc Carles 71, Patraix, Patraix, València","","Valencia","Valencia","Patraix","Barrio de Patraix","39.4628043","-0.3973111","6","Profesional","INMOPOLT GESTION INMOBILIARIA","No","Sí","No","No","No","No","No","No","https://images.habimg.com/imgh/00477c11-04f5-4468-9d9b-a0e601a0e07dG.jpg","https://www.habitaclia.com/i35926000001430","2025-07-29","968578670","direccion@inmopolt.com","No","Muy bueno","","No","No contactado","4971","3","1","90","237000","2633","1","Muy baja"
"habitaclia","V1588","Venta","Plurifamiliar","Piso en El Cabanyal, a 15 minutos a pie de la Playa de las Arenas.","","Valencia","Valencia","Poblats Marítims","El Cabanyal - El Canyamelar","39.4656498587","-0.3340011413","0","Profesional","LUSOMME","No","No","No","No","No","No","No","No","https://images.habimg.com/imgh/45caf09b-4577-460d-9f22-9e21f4537ea0G.jpg","https://www.habitaclia.com/i55900000000028","2025-07-29","34962029332","info@lusomme.com","No","Muy bueno","","No","No contactado","5139","2","1","59","180000","3050","1","Muy baja"
"Fotocasa","027948","Venta","Plurifamiliar","Piso en Venta en  Pedro Andreu, L'Hort de Senabre","46017","Valencia","Valencia","Jesús","L'Hort de Senabre","39.4511534634","-0.3932539166","4º","Profesional","KASABIBA","Sí","No","No","No","No","No","No","No","https://static.fotocasa.es/images/ads/180218ec-7485-4b77-a316-9402ae2b6712?rule=feeds_1920x1080","https://www.fotocasa.es/Building/Building_Detail.aspx?ai=187193880&tti=2","2025-07-29","961286182","kasabiba@kasabiba.com","No","Bueno","","No","No contactado","7872","4","2","125","220000","1760","1","Muy baja"
